Geographic Area Name,Median Income
ZCTA5 00601,18571
ZCTA5 00602,21702
ZCTA5 00603,19243
ZCTA5 00606,20226
ZCTA5 00610,23732
ZCTA5 00611,22566
ZCTA5 00612,23831
ZCTA5 00616,21391
ZCTA5 00617,22010
ZCTA5 00622,26682
ZCTA5 00623,25614
ZCTA5 00624,21091
ZCTA5 00627,26094
ZCTA5 00631,18295
ZCTA5 00636,
ZCTA5 00637,20665
ZCTA5 00638,20878
ZCTA5 00641,17839
ZCTA5 00646,33184
ZCTA5 00647,20357
ZCTA5 00650,19811
ZCTA5 00652,31653
ZCTA5 00653,15225
ZCTA5 00656,21511
ZCTA5 00659,27297
ZCTA5 00660,24829
ZCTA5 00662,20673
ZCTA5 00664,18065
ZCTA5 00667,18729
ZCTA5 00669,19198
ZCTA5 00670,16278
ZCTA5 00674,20039
ZCTA5 00676,21230
ZCTA5 00677,24746
ZCTA5 00678,22994
ZCTA5 00680,17857
ZCTA5 00682,18067
ZCTA5 00683,18231
ZCTA5 00685,17909
ZCTA5 00687,23010
ZCTA5 00688,18014
ZCTA5 00690,24386
ZCTA5 00692,25486
ZCTA5 00693,24072
ZCTA5 00694,15938
ZCTA5 00698,21921
ZCTA5 00703,22147
ZCTA5 00704,23330
ZCTA5 00705,21806
ZCTA5 00707,19173
ZCTA5 00714,18931
ZCTA5 00715,15743
ZCTA5 00716,19522
ZCTA5 00717,13282
ZCTA5 00718,21481
ZCTA5 00719,21089
ZCTA5 00720,19049
ZCTA5 00723,23599
ZCTA5 00725,27505
ZCTA5 00727,33403
ZCTA5 00728,20351
ZCTA5 00729,28765
ZCTA5 00730,18077
ZCTA5 00731,16917
ZCTA5 00735,23009
ZCTA5 00736,28652
ZCTA5 00738,25365
ZCTA5 00739,26801
ZCTA5 00740,23173
ZCTA5 00741,25827
ZCTA5 00745,26980
ZCTA5 00751,20947
ZCTA5 00754,21193
ZCTA5 00757,23350
ZCTA5 00765,17531
ZCTA5 00766,24906
ZCTA5 00767,21414
ZCTA5 00769,20514
ZCTA5 00771,25662
ZCTA5 00772,18408
ZCTA5 00773,23769
ZCTA5 00775,27614
ZCTA5 00777,28175
ZCTA5 00778,39564
ZCTA5 00780,26483
ZCTA5 00782,17090
ZCTA5 00783,24429
ZCTA5 00784,20347
ZCTA5 00786,
ZCTA5 00791,25925
ZCTA5 00794,22128
ZCTA5 00795,23391
ZCTA5 00901,25810
ZCTA5 00906,
ZCTA5 00907,42116
ZCTA5 00909,26066
ZCTA5 00911,44008
ZCTA5 00912,29418
ZCTA5 00913,6229
ZCTA5 00915,14502
ZCTA5 00917,19516
ZCTA5 00918,36872
ZCTA5 00920,29914
ZCTA5 00921,21797
ZCTA5 00923,18482
ZCTA5 00924,22433
ZCTA5 00925,14940
ZCTA5 00926,39543
ZCTA5 00927,39838
ZCTA5 00934,
ZCTA5 00949,33380
ZCTA5 00950,
ZCTA5 00951,22222
ZCTA5 00952,21960
ZCTA5 00953,33888
ZCTA5 00956,28674
ZCTA5 00957,29663
ZCTA5 00959,31400
ZCTA5 00960,
ZCTA5 00961,37015
ZCTA5 00962,20134
ZCTA5 00965,16516
ZCTA5 00966,56421
ZCTA5 00968,60353
ZCTA5 00969,58205
ZCTA5 00971,32098
ZCTA5 00976,38087
ZCTA5 00979,35521
ZCTA5 00982,26550
ZCTA5 00983,33930
ZCTA5 00985,35012
ZCTA5 00987,40295
ZCTA5 01001,71924
ZCTA5 01002,69411
ZCTA5 01003,
ZCTA5 01005,97390
ZCTA5 01007,99056
ZCTA5 01008,90625
ZCTA5 01009,70763
ZCTA5 01010,101477
ZCTA5 01011,87012
ZCTA5 01012,75526
ZCTA5 01013,64039
ZCTA5 01020,70971
ZCTA5 01022,56307
ZCTA5 01026,98438
ZCTA5 01027,73657
ZCTA5 01028,100997
ZCTA5 01029,99188
ZCTA5 01030,92485
ZCTA5 01031,58125
ZCTA5 01032,79583
ZCTA5 01033,110188
ZCTA5 01034,103603
ZCTA5 01035,117580
ZCTA5 01036,110703
ZCTA5 01037,84022
ZCTA5 01038,112083
ZCTA5 01039,115114
ZCTA5 01040,51892
ZCTA5 01050,96328
ZCTA5 01053,88646
ZCTA5 01054,113750
ZCTA5 01056,78981
ZCTA5 01057,90436
ZCTA5 01060,75077
ZCTA5 01062,87800
ZCTA5 01063,"250,000+"
ZCTA5 01066,
ZCTA5 01068,96207
ZCTA5 01069,79725
ZCTA5 01070,72083
ZCTA5 01071,107292
ZCTA5 01072,103188
ZCTA5 01073,125534
ZCTA5 01074,76859
ZCTA5 01075,93646
ZCTA5 01077,108833
ZCTA5 01079,
ZCTA5 01080,87188
ZCTA5 01081,87337
ZCTA5 01082,71023
ZCTA5 01083,92558
ZCTA5 01084,91667
ZCTA5 01085,83821
ZCTA5 01088,53472
ZCTA5 01089,70401
ZCTA5 01092,70938
ZCTA5 01093,
ZCTA5 01094,109000
ZCTA5 01095,124682
ZCTA5 01096,105729
ZCTA5 01097,
ZCTA5 01098,93000
ZCTA5 01103,21458
ZCTA5 01104,47530
ZCTA5 01105,22994
ZCTA5 01106,143961
ZCTA5 01107,31969
ZCTA5 01108,51851
ZCTA5 01109,46821
ZCTA5 01118,80906
ZCTA5 01119,59172
ZCTA5 01128,92125
ZCTA5 01129,92500
ZCTA5 01144,
ZCTA5 01151,57113
ZCTA5 01201,68879
ZCTA5 01220,56285
ZCTA5 01222,84583
ZCTA5 01223,82773
ZCTA5 01224,
ZCTA5 01225,72028
ZCTA5 01226,81168
ZCTA5 01229,
ZCTA5 01230,82871
ZCTA5 01235,76699
ZCTA5 01236,91172
ZCTA5 01237,84419
ZCTA5 01238,74469
ZCTA5 01240,99745
ZCTA5 01242,
ZCTA5 01243,89063
ZCTA5 01244,59655
ZCTA5 01245,113750
ZCTA5 01247,55544
ZCTA5 01253,108068
ZCTA5 01254,113304
ZCTA5 01255,85417
ZCTA5 01256,55000
ZCTA5 01257,80227
ZCTA5 01258,127813
ZCTA5 01259,125795
ZCTA5 01260,
ZCTA5 01262,142679
ZCTA5 01264,85313
ZCTA5 01266,98828
ZCTA5 01267,98750
ZCTA5 01270,104961
ZCTA5 01301,54347
ZCTA5 01330,81691
ZCTA5 01331,68345
ZCTA5 01337,79274
ZCTA5 01338,
ZCTA5 01339,72841
ZCTA5 01340,82578
ZCTA5 01341,93250
ZCTA5 01342,100917
ZCTA5 01343,84271
ZCTA5 01344,74550
ZCTA5 01346,111150
ZCTA5 01347,72500
ZCTA5 01349,69712
ZCTA5 01350,64375
ZCTA5 01351,99375
ZCTA5 01354,90000
ZCTA5 01355,80327
ZCTA5 01360,102470
ZCTA5 01364,54061
ZCTA5 01366,107656
ZCTA5 01367,89375
ZCTA5 01368,101875
ZCTA5 01370,76715
ZCTA5 01373,102578
ZCTA5 01375,61442
ZCTA5 01376,57857
ZCTA5 01378,95000
ZCTA5 01379,68750
ZCTA5 01380,70893
ZCTA5 01420,70334
ZCTA5 01430,115146
ZCTA5 01431,110536
ZCTA5 01432,105142
ZCTA5 01434,109651
ZCTA5 01436,88421
ZCTA5 01438,
ZCTA5 01440,63526
ZCTA5 01450,189355
ZCTA5 01451,206607
ZCTA5 01452,102344
ZCTA5 01453,82098
ZCTA5 01460,146250
ZCTA5 01462,109884
ZCTA5 01463,126824
ZCTA5 01464,121875
ZCTA5 01468,110938
ZCTA5 01469,113162
ZCTA5 01473,101161
ZCTA5 01474,130156
ZCTA5 01475,85638
ZCTA5 01501,101929
ZCTA5 01503,122411
ZCTA5 01504,98986
ZCTA5 01505,124732
ZCTA5 01506,71875
ZCTA5 01507,119809
ZCTA5 01510,93849
ZCTA5 01515,76382
ZCTA5 01516,147859
ZCTA5 01518,111193
ZCTA5 01519,153750
ZCTA5 01520,147582
ZCTA5 01521,86806
ZCTA5 01522,118824
ZCTA5 01523,130444
ZCTA5 01524,93191
ZCTA5 01525,
ZCTA5 01527,116000
ZCTA5 01529,115789
ZCTA5 01531,99375
ZCTA5 01532,174358
ZCTA5 01534,134539
ZCTA5 01535,81010
ZCTA5 01536,105795
ZCTA5 01537,94261
ZCTA5 01540,118389
ZCTA5 01541,150577
ZCTA5 01542,107674
ZCTA5 01543,155504
ZCTA5 01545,136225
ZCTA5 01550,59397
ZCTA5 01560,98884
ZCTA5 01561,
ZCTA5 01562,79086
ZCTA5 01564,136027
ZCTA5 01566,135802
ZCTA5 01568,161429
ZCTA5 01569,122458
ZCTA5 01570,68934
ZCTA5 01571,85179
ZCTA5 01581,134474
ZCTA5 01583,100427
ZCTA5 01585,70753
ZCTA5 01588,88735
ZCTA5 01590,155938
ZCTA5 01602,94351
ZCTA5 01603,63646
ZCTA5 01604,72911
ZCTA5 01605,54805
ZCTA5 01606,92537
ZCTA5 01607,66365
ZCTA5 01608,45962
ZCTA5 01609,61411
ZCTA5 01610,43757
ZCTA5 01611,118389
ZCTA5 01612,133750
ZCTA5 01701,127000
ZCTA5 01702,78784
ZCTA5 01718,125972
ZCTA5 01719,151000
ZCTA5 01720,154101
ZCTA5 01721,127106
ZCTA5 01730,158286
ZCTA5 01731,101194
ZCTA5 01740,198475
